183495;RU;PRO;FRANCISCO GONCALVES;375;-38.298.141;-3.448.975
3121173;AV;BAR;DE STUDART;2300;;
2597962;RU;PDE;ROMA;1167;-38.319.445;-3.446.526
2594741;RU;STA;FE;969;-38.325.740;-3.442.621
4640912;AV;DOM;MANOEL;136;;
2094201;AV; ;FELINO BARROSO;580;-38.316.980;-3.448.367
5142296;VL; ;AMANCIO;4;-38.306.817;-3.457.138
3230494;RU; ;SOBRAL;160;-38.314.640;-3.435.202
276714;RU; ;JUSTINIANO DE SERPA;543;-38.325.106;-3.441.634
5865212;AV; ;FELINO BARROSO;580;-38.316.951;-3.448.360
2091244;RU;SEN;ALENCAR;1517;-38.323.079;-3.432.898
211955;RU; ;CRUZ ABREU;973;-38.304.368;-3.454.449
5400477;RU;NSA;DA PIEDADE;79;-38.313.474;-3.444.145
277081;RU; ;JOAQUIM BARBOSA DOS SANTOS;443;-38.325.506;-3.441.176
5161987;AV; ;FELINO BARROSO;580;-38.316.950;-3.448.358
2099324;RU; ;ANTONIO POMPEU;423;-38.316.666;-3.441.447
2113047;AV; ;0013 DE MAIO;2982;-38.325.806;-3.442.435
5734474;RU;DR;JOSE LOURENCO;2185;-38.306.367;-3.445.958
63032;RU; ;DOS POCINHOS;33;-38.315.073;-3.436.901
2585215;RU; ;0024 DE MAIO;753;-38.319.492;-3.437.110
3110673;RU; ;ADARIAS DE LIMA;124;-38.319.734;-3.432.128
4277060;RU; ;JOAO BRIGIDO;966;-38.309.003;-3.444.525
4613071;RU;FIS;VIEIRA;3311;;
4535686;RU; ;CONFUCIO PAMPLONA;157;-38.321.363;-3.443.399
2002136;RU;PRO;CARVALHO;3584;-38.308.694;-3.453.369
2618854;;;;24;-38.308.511;-3.456.526
2012310;RU;SEN;POMPEU;649;-38.317.311;-3.434.593
2012216;RU;SEN;POMPEU;649;-38.317.319;-3.434.590
2012258;RU;SEN;POMPEU;649;-38.317.323;-3.434.597
2012277;RU;SEN;POMPEU;649;-38.317.347;-3.434.582
4086867;RU;SEN;POMPEU;649;;
2012279;RU;SEN;POMPEU;649;-38.317.459;-3.434.550
4638324;RU;SEN;POMPEU;649;-38.317.282;-3.434.579
2012266;RU;SEN;POMPEU;649;-38.317.253;-3.434.628
4172273;RU;SEN;POMPEU;649;;
5453364;RU;SEN;POMPEU;649;-38.317.328;-3.434.623
2012282;RU;SEN;POMPEU;649;-38.317.268;-3.434.640
2012285;RU;SEN;POMPEU;649;-38.317.276;-3.434.639
2012288;RU;SEN;POMPEU;649;-38.317.265;-3.434.637
5613052;RU;SEN;POMPEU;649;-38.317.264;-3.434.639
3496936;RU;SEN;POMPEU;649;;
2012302;RU;SEN;POMPEU;649;-38.317.288;-3.434.634
4744635;RU;SEN;POMPEU;649;-38.317.264;-3.434.665
2012291;RU;SEN;POMPEU;649;-38.317.343;-3.434.626
2012345;RU;SEN;POMPEU;649;-38.317.299;-3.434.636
5833126;;;;649;-38.317.278;-3.434.644
2012348;RU;SEN;POMPEU;649;-38.317.284;-3.434.634
2012391;RU;SEN;POMPEU;649;-38.317.287;-3.434.667
2012385;RU;SEN;POMPEU;649;-38.317.277;-3.434.667
5702962;RU;SEN;POMPEU;649;;
2012645;RU;SEN;POMPEU;649;-38.317.277;-3.434.663
2012648;RU;SEN;POMPEU;649;-38.317.276;-3.434.663
5441777;RU;SEN;POMPEU;649;-38.317.276;-3.434.663
2012398;RU;SEN;POMPEU;649;-38.317.285;-3.434.658
2012638;RU;SEN;POMPEU;649;-38.317.291;-3.434.658
2012340;RU;SEN;POMPEU;649;-38.317.252;-3.434.621
2012647;RU;SEN;POMPEU;649;-38.317.386;-3.434.623
3989651;RU;SEN;POMPEU;649;;
2012663;RU;SEN;POMPEU;649;-38.317.261;-3.434.675
2012669;RU;SEN;POMPEU;649;-38.317.251;-3.434.680
2012674;RU;SEN;POMPEU;649;-38.317.260;-3.434.673
2012678;RU;SEN;POMPEU;649;-38.317.285;-3.434.660
2012683;RU;SEN;POMPEU;649;-38.317.307;-3.434.649
2012684;RU;SEN;POMPEU;649;-38.317.381;-3.434.589
2012687;RU;SEN;POMPEU;649;-38.317.189;-3.434.704
2002750;RU;SAO;PAULO;571;-38.318.423;-3.434.969
5807595;AV; ;PONTES VIEIRA;609;-38.309.531;-3.451.784
2002392;VL; ;ELIZIANE;104;-38.308.401;-3.457.072
2002391;RU;DOM;PEDRO I;931;-38.319.676;-3.437.956
32463;RU;BAR;DE ARATANHA;146;-38.316.136;-3.440.576
212766;RU;ECV;PINHEIRO;4355;-38.304.697;-3.455.745
3797505;RU;MAL;DEODORO;1404;;
